hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa
traditional,all-transactions,quarterly,MSA,"Colorado Springs, CO",17820,2023,1,379.69,
traditional,all-transactions,quarterly,MSA,"Colorado Springs, CO",17820,2023,2,392.89,
traditional,all-transactions,quarterly,MSA,"Columbia, MO",17860,2023,1,269.85,
traditional,all-transactions,quarterly,MSA,"Columbia, MO",17860,2023,2,282.42,
traditional,all-transactions,quarterly,MSA,"Columbia, SC",17900,2023,1,274.11,
traditional,all-transactions,quarterly,MSA,"Columbia, SC",17900,2023,2,290.93,
traditional,all-transactions,quarterly,MSA,"Columbus, GA-AL",17980,2023,1,235.98,
traditional,all-transactions,quarterly,MSA,"Columbus, GA-AL",17980,2023,2,235.53,
traditional,all-transactions,quarterly,MSA,"Columbus, IN",18020,2023,1,257.44,
traditional,all-transactions,quarterly,MSA,"Columbus, IN",18020,2023,2,252.95,
traditional,all-transactions,quarterly,MSA,"Columbus, OH",18140,2023,1,294.34,
traditional,all-transactions,quarterly,MSA,"Columbus, OH",18140,2023,2,310.95,
traditional,all-transactions,quarterly,MSA,"Corpus Christi, TX",18580,2023,1,304.14,
traditional,all-transactions,quarterly,MSA,"Corpus Christi, TX",18580,2023,2,304.08,
traditional,all-transactions,quarterly,MSA,"Corvallis, OR",18700,2023,1,364.12,
traditional,all-transactions,quarterly,MSA,"Corvallis, OR",18700,2023,2,364.46,
traditional,all-transactions,quarterly,MSA,"Crestview-Fort Walton Beach-Destin, FL",18880,2023,1,411.2,
traditional,all-transactions,quarterly,MSA,"Crestview-Fort Walton Beach-Destin, FL",18880,2023,2,424.0,
traditional,all-transactions,quarterly,MSA,"Cumberland, MD-WV",19060,2023,1,236.48,
traditional,all-transactions,quarterly,MSA,"Cumberland, MD-WV",19060,2023,2,227.19,
traditional,all-transactions,quarterly,MSA,"Dallas-Plano-Irving, TX (MSAD)",19124,2023,1,404.9,
traditional,all-transactions,quarterly,MSA,"Dallas-Plano-Irving, TX (MSAD)",19124,2023,2,413.8,
traditional,all-transactions,quarterly,MSA,"Dalton, GA",19140,2023,1,302.82,
traditional,all-transactions,quarterly,MSA,"Dalton, GA",19140,2023,2,308.03,
traditional,all-transactions,quarterly,MSA,"Danville, IL",19180,2023,1,215.04,
traditional,all-transactions,quarterly,MSA,"Danville, IL",19180,2023,2,237.19,
traditional,all-transactions,quarterly,MSA,"Daphne-Fairhope-Foley, AL",19300,2023,1,359.84,
traditional,all-transactions,quarterly,MSA,"Daphne-Fairhope-Foley, AL",19300,2023,2,369.17,
traditional,all-transactions,quarterly,MSA,"Davenport-Moline-Rock Island, IA-IL",19340,2023,1,249.96,
traditional,all-transactions,quarterly,MSA,"Davenport-Moline-Rock Island, IA-IL",19340,2023,2,256.26,
traditional,all-transactions,quarterly,MSA,"Dayton-Kettering, OH",19430,2023,1,219.72,
traditional,all-transactions,quarterly,MSA,"Dayton-Kettering, OH",19430,2023,2,230.68,
traditional,all-transactions,quarterly,MSA,"Decatur, AL",19460,2023,1,277.61,
traditional,all-transactions,quarterly,MSA,"Decatur, AL",19460,2023,2,289.01,
traditional,all-transactions,quarterly,MSA,"Decatur, IL",19500,2023,1,193.64,
traditional,all-transactions,quarterly,MSA,"Decatur, IL",19500,2023,2,206.95,
traditional,all-transactions,quarterly,MSA,"Deltona-Daytona Beach-Ormond Beach, FL",19660,2023,1,431.16,
traditional,all-transactions,quarterly,MSA,"Deltona-Daytona Beach-Ormond Beach, FL",19660,2023,2,443.01,
traditional,all-transactions,quarterly,MSA,"Denver-Aurora-Lakewood, CO",19740,2023,1,476.18,
traditional,all-transactions,quarterly,MSA,"Denver-Aurora-Lakewood, CO",19740,2023,2,489.51,
traditional,all-transactions,quarterly,MSA,"Des Moines-West Des Moines, IA",19780,2023,1,267.58,
traditional,all-transactions,quarterly,MSA,"Des Moines-West Des Moines, IA",19780,2023,2,275.59,
traditional,all-transactions,quarterly,MSA,"Detroit-Dearborn-Livonia, MI (MSAD)",19804,2023,1,246.08,
traditional,all-transactions,quarterly,MSA,"Detroit-Dearborn-Livonia, MI (MSAD)",19804,2023,2,256.75,
traditional,all-transactions,quarterly,MSA,"Dothan, AL",20020,2023,1,232.14,
traditional,all-transactions,quarterly,MSA,"Dothan, AL",20020,2023,2,235.65,
traditional,all-transactions,quarterly,MSA,"Dover, DE",20100,2023,1,271.22,
traditional,all-transactions,quarterly,MSA,"Dover, DE",20100,2023,2,278.86,
traditional,all-transactions,quarterly,MSA,"Dubuque, IA",20220,2023,1,262.08,
traditional,all-transactions,quarterly,MSA,"Dubuque, IA",20220,2023,2,264.35,
